SR903C5500,CZCE,白糖903买权,SR903C5500,SRC,2,2019,1,100,1,100,1,10,0.5,20170925,20170925,20190125,20190125,20190125,1,1,2,2,1.79769e+308,1.79769e+308
SR903P5500,CZCE,白糖903卖权,SR903P5500,SRP,2,2019,1,100,1,100,1,10,0.5,20170925,20170925,20190125,20190125,20190125,1,1,2,2,1.79769e+308,1.79769e+308
SR801C5900,CZCE,白糖801买权,SR801C5900,SRC,2,2017,11,20,1,20,1,10,0.5,20170628,20170628,20171124,20171124,20171124,1,1,2,2,1.79769e+308,1.79769e+308
SR801P5900,CZCE,白糖801卖权,SR801P5900,SRP,2,2017,11,20,1,20,1,10,0.5,20170628,20170628,20171124,20171124,20171124,1,1,2,2,1.79769e+308,1.79769e+308
SR803C5900,CZCE,白糖803买权,SR803C5900,SRC,2,2018,1,20,1,20,1,10,0.5,20170628,20170628,20180125,20180125,20180125,1,1,2,2,1.79769e+308,1.79769e+308
SR803P5900,CZCE,白糖803卖权,SR803P5900,SRP,2,2018,1,20,1,20,1,10,0.5,20170628,20170628,20180125,20180125,20180125,1,1,2,2,1.79769e+308,1.79769e+308
SR805C5800,CZCE,白糖805买权,SR805C5800,SRC,2,2018,3,20,1,20,1,10,0.5,20170628,20170628,20180326,20180326,20180326,1,1,2,2,1.79769e+308,1.79769e+308
SR805P5800,CZCE,白糖805卖权,SR805P5800,SRP,2,2018,3,20,1,20,1,10,0.5,20170628,20170628,20180326,20180326,20180326,1,1,2,2,1.79769e+308,1.79769e+308
SR807C5800,CZCE,白糖807买权,SR807C5800,SRC,2,2018,5,20,1,20,1,10,0.5,20170628,20170628,20180525,20180525,20180525,1,1,2,2,1.79769e+308,1.79769e+308
SR807C5900,CZCE,白糖807买权,SR807C5900,SRC,2,2018,5,20,1,20,1,10,0.5,20170628,20170628,20180525,20180525,20180525,1,1,2,2,1.79769e+308,1.79769e+308
SR807P5800,CZCE,白糖807卖权,SR807P5800,SRP,2,2018,5,20,1,20,1,10,0.5,20170628,20170628,20180525,20180525,20180525,1,1,2,2,1.79769e+308,1.79769e+308
SR807P5900,CZCE,白糖807卖权,SR807P5900,SRP,2,2018,5,20,1,20,1,10,0.5,20170628,20170628,20180525,20180525,20180525,1,1,2,2,1.79769e+308,1.79769e+308
SR809C5800,CZCE,白糖809买权,SR809C5800,SRC,2,2018,7,20,1,20,1,10,0.5,20170628,20170628,20180725,20180725,20180725,1,1,2,2,1.79769e+308,1.79769e+308
SR809P5800,CZCE,白糖809卖权,SR809P5800,SRP,2,2018,7,20,1,20,1,10,0.5,20170628,20170628,20180725,20180725,20180725,1,1,2,2,1.79769e+308,1.79769e+308
SR811C5800,CZCE,白糖811买权,SR811C5800,SRC,2,2018,9,20,1,20,1,10,0.5,20170628,20170628,20180924,20180924,20180924,1,1,2,2,1.79769e+308,1.79769e+308
SR811P5800,CZCE,白糖811卖权,SR811P5800,SRP,2,2018,9,20,1,20,1,10,0.5,20170628,20170628,20180924,20180924,20180924,1,1,2,2,1.79769e+308,1.79769e+308
fu1712,SHFE,fu1712,fu1712,fu,1,2017,12,30,1,500,1,50,1,20161101,20161201,20171130,20171201,20171207,1,1,2,1,0.4,0.4
ag1712,SHFE,ag1712,ag1712,ag,1,2017,12,30,1,500,1,15,1,20161115,20161216,20171215,20171218,20171222,1,1,2,1,0.1,0.1
al1712,SHFE,al1712,al1712,al,1,2017,12,30,1,500,1,5,5,20161115,20161216,20171215,20171218,20171222,1,1,2,1,0.1,0.1
bu1812,SHFE,bu1812,bu1812,bu,1,2018,12,30,1,500,1,10,2,20161115,20161216,20181217,20181218,20181224,1,1,2,1,0.08,0.08
cu1712,SHFE,cu1712,cu1712,cu,1,2017,12,30,1,500,1,5,10,20161115,20161216,20171215,20171218,20171222,1,1,2,1,0.1,0.1
hc1712,SHFE,hc1712,hc1712,hc,1,2017,12,30,1,500,1,10,1,20161115,20161216,20171215,20171218,20171222,1,1,2,1,0.1,0.1
ni1712,SHFE,ni1712,ni1712,ni,1,2017,12,30,1,500,1,1,10,20161115,20161216,20171215,20171218,20171222,1,1,2,1,0.1,0.1
pb1712,SHFE,pb1712,pb1712,pb,1,2017,12,30,1,500,1,5,5,20161115,20161216,20171215,20171218,20171222,1,1,2,1,0.1,0.1
rb1712,SHFE,rb1712,rb1712,rb,1,2017,12,30,1,500,1,10,1,20161115,20161216,20171215,20171218,20171222,1,1,2,1,0.1,0.1
sn1712,SHFE,sn1712,sn1712,sn,1,2017,12,30,1,500,1,1,10,20161115,20161216,20171215,20171218,20171222,1,1,2,1,0.1,0.1
wr1712,SHFE,wr1712,wr1712,wr,1,2017,12,30,1,500,1,10,1,20161115,20161216,20171215,20171218,20171222,1,1,2,1,0.2,0.2
zn1712,SHFE,zn1712,zn1712,zn,1,2017,12,30,1,500,1,5,5,20161115,20161216,20171215,20171218,20171222,1,1,2,1,0.1,0.1
ZC801,CZCE,煤1月,ZC801,ZC,1,2018,1,1000,1,1000,1,100,0.2,20170110,20170110,20180108,20180108,20180108,1,1,2,2,0.08,0.08
m1801-C-2550,DCE,m1801-C-2550,m1801-C-2550,m_o,2,2018,1,100,1,100,1,10,0.5,20170406,20170406,20171207,20171207,20171207,1,1,2,2,1.79769e+308,1.79769e+308
m1801-P-2550,DCE,m1801-P-2550,m1801-P-2550,m_o,2,2018,1,100,1,100,1,10,0.5,20170406,20170406,20171207,20171207,20171207,1,1,2,2,1.79769e+308,1.79769e+308
m1801-C-3200,DCE,m1801-C-3200,m1801-C-3200,m_o,2,2018,1,100,1,100,1,10,0.5,20170712,20170712,20171207,20171207,20171207,1,1,2,2,1.79769e+308,1.79769e+308
m1801-P-3200,DCE,m1801-P-3200,m1801-P-3200,m_o,2,2018,1,100,1,100,1,10,0.5,20170712,20170712,20171207,20171207,20171207,1,1,2,2,1.79769e+308,1.79769e+308
m1801-C-2600,DCE,m1801-C-2600,m1801-C-2600,m_o,2,2018,1,100,1,100,1,10,0.5,20170331,20170331,20171207,20171207,20171207,1,1,2,2,1.79769e+308,1.79769e+308
m1801-C-2650,DCE,m1801-C-2650,m1801-C-2650,m_o,2,2018,1,100,1,100,1,10,0.5,20170331,20170331,20171207,20171207,20171207,1,1,2,2,1.79769e+308,1.79769e+308
m1801-C-2700,DCE,m1801-C-2700,m1801-C-2700,m_o,2,2018,1,100,1,100,1,10,0.5,20170331,20170331,20171207,20171207,20171207,1,1,2,2,1.79769e+308,1.79769e+308
m1801-C-2750,DCE,m1801-C-2750,m1801-C-2750,m_o,2,2018,1,100,1,100,1,10,0.5,20170331,20170331,20171207,20171207,20171207,1,1,2,2,1.79769e+308,1.79769e+308
m1801-C-2800,DCE,m1801-C-2800,m1801-C-2800,m_o,2,2018,1,100,1,100,1,10,0.5,20170331,20170331,20171207,20171207,20171207,1,1,2,2,1.79769e+308,1.79769e+308
m1801-C-2850,DCE,m1801-C-2850,m1801-C-2850,m_o,2,2018,1,100,1,100,1,10,0.5,20170331,20170331,20171207,20171207,20171207,1,1,2,2,1.79769e+308,1.79769e+308
